# seed = 1781169358
magic_constant, RMSRE
1065028000, 4.5099491779e-02
1065029000, 4.5205558074e-02
1065030000, 4.5312032173e-02
1065031000, 4.5418921506e-02
1065032000, 4.5526199957e-02
1065033000, 4.5633884564e-02
1065034000, 4.5741964298e-02
1065035000, 4.5850439425e-02
1065036000, 4.5959284104e-02
1065037000, 4.6068501980e-02
1065038000, 4.6178109463e-02
1065039000, 4.6288089418e-02
1065040000, 4.6398430393e-02
1065041000, 4.6509124791e-02
1065042000, 4.6620199242e-02
1065043000, 4.6731658154e-02
1065044000, 4.6843460463e-02
1065045000, 4.6955635532e-02
1065046000, 4.7068182761e-02
1065047000, 4.7181099113e-02
1065048000, 4.7294357715e-02
1065049000, 4.7407965203e-02
1065050000, 4.7521936953e-02
1065051000, 4.7636264075e-02
1065052000, 4.7750942430e-02
1065053000, 4.7865974719e-02
1065054000, 4.7981357877e-02
1065055000, 4.8097073458e-02
1065056000, 4.8213129670e-02
1065057000, 4.8329537267e-02
1065058000, 4.8446288839e-02
1065059000, 4.8563361090e-02
1065060000, 4.8680762285e-02
1065061000, 4.8798499817e-02
1065062000, 4.8916550103e-02
1065063000, 4.9034914791e-02
1065064000, 4.9153611123e-02
1065065000, 4.9272627759e-02
1065066000, 4.9391966527e-02
1065067000, 4.9511617351e-02
1065068000, 4.9631573581e-02
1065069000, 4.9751837713e-02
1065070000, 4.9872420935e-02
1065071000, 4.9993307320e-02
1065072000, 5.0114486979e-02
1065073000, 5.0235969256e-02
1065074000, 5.0357762817e-02
1065075000, 5.0479859312e-02
1065076000, 5.0602251782e-02
