num_newton_steps, optimal_magic_constant, optimal_RMSRE
1, 1597423616, 0.000974
1, 1597427712, 0.000984
1, 1597431808, 0.000995
1, 1597435904, 0.001006
1, 1597440000, 0.001019
1, 1597444096, 0.001032
1, 1597448192, 0.001046
1, 1597452288, 0.001060
1, 1597456384, 0.001075
1, 1597460480, 0.001091
1, 1597464576, 0.001108
1, 1597468672, 0.001125
1, 1597472768, 0.001143
1, 1597476864, 0.001161
1, 1597480960, 0.001180
1, 1597485056, 0.001200
1, 1597489152, 0.001220
1, 1597493248, 0.001241
1, 1597497344, 0.001262
1, 1597501440, 0.001284
1, 1597505536, 0.001307
1, 1597509632, 0.001330
1, 1597513728, 0.001354
1, 1597517824, 0.001378
1, 1597521920, 0.001402
1, 1597526016, 0.001428
1, 1597530112, 0.001453
1, 1597534208, 0.001479
1, 1597538304, 0.001506
1, 1597542400, 0.001533
1, 1597546496, 0.001561
1, 1597550592, 0.001589
1, 1597554688, 0.001617
1, 1597558784, 0.001646
1, 1597562880, 0.001676
1, 1597566976, 0.001705
1, 1597571072, 0.001736
1, 1597575168, 0.001766
1, 1597579264, 0.001797
1, 1597583360, 0.001829
1, 1597587456, 0.001861
1, 1597591552, 0.001893
1, 1597595648, 0.001926
1, 1597599744, 0.001959
1, 1597603840, 0.001993
1, 1597607936, 0.002027
1, 1597612032, 0.002061
1, 1597616128, 0.002096
1, 1597620224, 0.002131
1, 1597624320, 0.002167
1, 1597628416, 0.002203
1, 1597632512, 0.002239
1, 1597636608, 0.002276
1, 1597640704, 0.002313
1, 1597644800, 0.002351
1, 1597648896, 0.002389
1, 1597652992, 0.002427
1, 1597657088, 0.002466
1, 1597661184, 0.002505
1, 1597665280, 0.002544
1, 1597669376, 0.002584
1, 1597673472, 0.002624
1, 1597677568, 0.002665
1, 1597681664, 0.002706
1, 1597685760, 0.002747
1, 1597689856, 0.002789
1, 1597693952, 0.002831
1, 1597698048, 0.002873
1, 1597702144, 0.002916
1, 1597706240, 0.002959
1, 1597710336, 0.003003
1, 1597714432, 0.003047
1, 1597718528, 0.003091
1, 1597722624, 0.003136
1, 1597726720, 0.003181
1, 1597730816, 0.003226
1, 1597734912, 0.003272
1, 1597739008, 0.003318
1, 1597743104, 0.003364
1, 1597747200, 0.003411
1, 1597751296, 0.003459
1, 1597755392, 0.003506
1, 1597759488, 0.003554
1, 1597763584, 0.003603
1, 1597767680, 0.003651
1, 1597771776, 0.003701
1, 1597775872, 0.003750
1, 1597779968, 0.003800
1, 1597784064, 0.003850
1, 1597788160, 0.003901
1, 1597792256, 0.003952
1, 1597796352, 0.004003
1, 1597800448, 0.004055
1, 1597804544, 0.004107
1, 1597808640, 0.004159
1, 1597812736, 0.004212
1, 1597816832, 0.004265
1, 1597820928, 0.004319
1, 1597825024, 0.004373
1, 1597829120, 0.004427
1, 1597833216, 0.004482
1, 1597837312, 0.004537
1, 1597841408, 0.004593
1, 1597845504, 0.004648
1, 1597849600, 0.004705
1, 1597853696, 0.004761
1, 1597857792, 0.004818
1, 1597861888, 0.004876
1, 1597865984, 0.004933
1, 1597870080, 0.004991
1, 1597874176, 0.005050
