rsqrt_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  NS=0 A0=7 A1=5 A2=3 WW=19  RMSRE=3.129688e-06  max_rel_error=8.297794e-06  at x=2.00681947e-31  (dut=2.23224698e+15, ref=2.2322655e+15)
  NS=0 A0=7 A1=5 A2=4 WW=20  RMSRE=1.581107e-06  max_rel_error=4.235323e-06  at x=7.13101283e-15  (dut=11842032, ref=11841981.8)
  NS=0 A0=7 A1=5 A2=5 WW=21  RMSRE=7.951960e-07  max_rel_error=2.050876e-06  at x=5.71494695e+11  (dut=1.32280184e-06, ref=1.32279912e-06)
  NS=0 A0=7 A1=5 A2=6 WW=22  RMSRE=4.029935e-07  max_rel_error=1.145455e-06  at x=2.21982189e-19  (dut=2.12246451e+09, ref=2.12246694e+09)
  NS=0 A0=7 A1=5 A2=7 WW=23  RMSRE=2.111359e-07  max_rel_error=7.175331e-07  at x=3.01998408e+20  (dut=5.75437267e-11, ref=5.75436854e-11)
  NS=0 A0=7 A1=6 A2=3 WW=20  RMSRE=1.581247e-06  max_rel_error=4.235323e-06  at x=7.13101283e-15  (dut=11842032, ref=11841981.8)
  NS=0 A0=7 A1=6 A2=4 WW=21  RMSRE=7.907686e-07  max_rel_error=2.032263e-06  at x=5.01704545e+21  (dut=1.41181199e-11, ref=1.41180912e-11)
  NS=0 A0=7 A1=6 A2=5 WW=22  RMSRE=3.992413e-07  max_rel_error=1.096841e-06  at x=5.51089537e+11  (dut=1.34706761e-06, ref=1.34706613e-06)
  NS=0 A0=7 A1=6 A2=6 WW=23  RMSRE=2.024899e-07  max_rel_error=5.612209e-07  at x=1.64772933e+32  (dut=7.7903473e-17, ref=7.79035168e-17)
  NS=0 A0=7 A1=6 A2=7 WW=23  RMSRE=1.062681e-07  max_rel_error=3.608416e-07  at x=9.1289053  (dut=0.330971658, ref=0.330971539)
  NS=0 A0=7 A1=7 A2=3 WW=21  RMSRE=7.913486e-07  max_rel_error=2.014209e-06  at x=1.21690348e-07  (dut=2866.6377, ref=2866.63192)
  NS=0 A0=7 A1=7 A2=4 WW=22  RMSRE=3.974193e-07  max_rel_error=1.073032e-06  at x=1.00732599e+28  (dut=9.9635808e-15, ref=9.9635701e-15)
  NS=0 A0=7 A1=7 A2=5 WW=23  RMSRE=2.001118e-07  max_rel_error=5.504228e-07  at x=4.95167738e+24  (dut=4.49390687e-13, ref=4.4939044e-13)
  NS=0 A0=7 A1=7 A2=6 WW=23  RMSRE=1.031130e-07  max_rel_error=3.294966e-07  at x=2.69888612e+36  (dut=6.08706393e-19, ref=6.08706192e-19)
  NS=0 A0=7 A1=7 A2=7 WW=23  RMSRE=6.013554e-08  max_rel_error=1.926670e-07  at x=268449.125  (dut=0.0019300516, ref=0.00193005197)
  
